"/uav_ground_truth/pose/pose/position/z_x","/uav_ground_truth/pose/pose/position/z_y","/ual/pose/pose/position/z_y","/del_uav/KF_pose/z_y"
9.439,0.4427943689,2.804655075,2.803561337,
9.459,0.4493765944,2.806465864,2.806320026,
9.479,0.4558975319,2.807909012,2.807090119,
9.499,0.4627102346,2.807802677,2.810397365,
9.519,0.4698817673,2.808219671,2.809906623,
9.539,0.4772385177,2.809077024,2.809864598,
9.559,0.4845921775,2.809316635,2.810306305,
9.579,0.4919050119,2.809402227,2.810343028,
9.599,0.4995257585,2.809726954,2.810721755,
9.619,0.507493622,2.810825586,2.810610081,
9.639,0.5156397688,2.812840223,2.811584694,
9.659,0.52378385,2.812434912,2.811666339,
9.679,0.5319020818,2.814556599,2.813206849,
9.699,0.5403089922,2.816082478,2.816676282,
9.719,0.5490043843,2.817430735,2.816966347,
9.739,0.5578260975,2.820336103,2.819653294,
9.759,0.566618061,2.822319746,2.819878024,
9.779,0.5753539756,2.826310396,2.823679728,
9.799,0.5843424357,2.827849627,2.829064756,
9.819,0.5936492051,2.827950954,2.829516815,
9.839,0.6031443262,2.832542896,2.832486597,
9.859,0.6126638956,2.834055662,2.83198925,
9.879,0.6221617488,2.835365057,2.835039967,
9.899,0.6318869289,2.836684942,2.835295968,
9.919,0.6418799844,2.833062887,2.837387096,
9.939,0.6520129327,2.830404043,2.832361995,
9.959,0.6621491977,2.829339981,2.831938473,
9.979,0.6722576302,2.829754353,2.830827714,
9.999,0.6825647529,2.829364061,2.83073324,
10.019,0.6930922371,2.830532074,2.830224242,
10.039,0.7037281059,2.831946373,2.832409758,
10.059,0.7143421287,2.833904743,2.832593048,
10.079,0.7249374507,2.835380554,2.835688456,
10.099,0.7357389427,2.835983992,2.835947503,
10.119,0.7467407826,2.837181091,2.837547094,
10.139,0.7578195287,2.838680267,2.837680832,
10.159,0.7688631626,2.839969873,2.83983403,
10.179,0.7798699563,2.839796543,2.840914382,
10.199,0.7910142706,2.840435028,2.841004882,
10.219,0.8022775894,2.840724468,2.84076678,
10.239,0.8135524958,2.841054916,2.840746586,
10.259,0.8247628355,2.841852427,2.84250401,
10.279,0.8358933995,2.843908072,2.842651345,
10.299,0.8471141568,2.845440388,2.845293551,
10.319,0.8584886464,2.848519325,2.848711627,
10.339,0.8699392465,2.849739552,2.848998212,
10.359,0.8813614282,2.850614786,2.851406213,
10.379,0.8926916476,2.851127148,2.851608112,
10.399,0.9040585233,2.851482153,2.852419481,
10.419,0.9155170304,2.851253271,2.852487446,
10.439,0.9269886701,2.853033066,2.852597569,
10.459,0.9383826893,2.853789091,2.852606684,
10.479,0.9496784481,2.85636878,2.855842003,
10.499,0.9609793315,2.858137131,2.858625144,
10.519,0.9723182852,2.859755754,2.858858632,
10.539,0.9836629639,2.860859632,2.861690325,
10.559,0.9949472684,2.862752676,2.861928448,
10.579,1.006157836,2.864537477,2.864661713,
10.599,1.017361132,2.865616322,2.864891427,
10.619,1.028554952,2.867953062,2.867975807,
10.639,1.039700223,2.870183468,2.870998634,
10.659,1.050766823,2.871768951,2.871385228,
10.679,1.061760646,2.872237444,2.873297851,
10.699,1.072744916,2.872857571,2.87345717,
10.719,1.083740962,2.872064114,2.873970364,
10.739,1.094746303,2.875128269,2.87395861,
10.759,1.10573425,2.874331474,2.876104617,
10.779,1.116707581,2.87535882,2.876495566,
10.799,1.127697711,2.874866009,2.876527965,
10.819,1.138701315,2.87508893,2.876419609,
10.839,1.149675518,2.876108408,2.875742101,
10.859,1.160567558,2.875891685,2.875918972,
10.879,1.171358864,2.877506018,2.875933838,
10.899,1.182074257,2.878055573,2.877779145,
10.919,1.192726821,2.877971888,2.878360655,
10.939,1.20329558,2.87715292,2.878409353,
10.959,1.213777403,2.877545357,2.878549855,
10.979,1.224187541,2.878698349,2.878561376,
10.999,1.23453417,2.879910231,2.880306562,
11.019,1.244820598,2.88069582,2.880452813,
11.039,1.255049057,2.881148577,2.881236865,
11.059,1.265213441,2.881752491,2.881302394,
11.079,1.275315113,2.88241291,2.88232068,
11.099,1.285354838,2.881549358,2.882156722,
11.119,1.295356017,2.880478382,2.88214261,
