"/ual/odom/twist/twist/linear/x_x","/ual/odom/twist/twist/linear/x_y","/del_uav/KF_twist/x_y"
17.216,0.03250874104,0.06052017949,
17.249,0.04004397335,0.1335950129,
17.283,0.05104035898,0.1368360134,
17.316,0.1171900258,0.1524642631,
17.349,0.1336720268,0.1746251211,
17.383,0.1449285262,0.1875570516,
17.416,0.1692502421,0.2359081545,
17.449,0.1851141033,0.2039495583,
17.483,0.231816309,0.2015230715,
17.516,0.2078991166,0.1800036331,
17.549,0.223046143,0.1947564791,
17.583,0.1900072663,0.1968685938,
17.616,0.1995129582,0.2004058031,
17.649,0.1937371877,0.1835269252,
17.683,0.2108116062,0.166345417,
17.716,0.1970538504,0.2016544522,
17.749,0.162690834,0.2166509886,
17.783,0.1833089044,0.234759711,
17.816,0.2133019772,0.2501567184,
17.849,0.2095194219,0.2050201221,
17.883,0.2503134369,0.1754215318,
17.916,0.2200402441,0.205803416,
17.949,0.1808430635,0.2223439967,
17.983,0.2016068319,0.212707594,
18.016,0.2346879934,0.1707984162,
18.049,0.2454151879,0.1613173617,
18.083,0.2015968324,0.1623378239,
18.116,0.1726347234,0.1455267468,
18.149,0.1646756478,0.1486670407,
18.191,0.1510534936,0.1273829104,
18.216,0.1673340814,0.1413925713,
18.249,0.1447658209,0.1504485598,
18.283,0.1427851427,0.1451479276,
18.316,0.1708971197,0.137318828,
18.349,0.1502958553,0.1439553663,
18.383,0.154637656,0.147542874,
18.416,0.1679107325,0.1520128608,
18.449,0.165085748,0.1637253499,
18.483,0.1540257216,0.1421892649,
18.516,0.1774506998,0.1300592521,
18.549,0.1843785297,0.1291258707,
18.583,0.1401185042,0.1496189467,
18.616,0.1382517414,0.1607026607,
18.649,0.1592378933,0.1729648734,
18.683,0.1714053215,0.1699140349,
18.716,0.1659297469,0.1421950209,
18.749,0.1798280698,0.1472910983,
18.783,0.1643900419,0.1647779275,
18.816,0.1545821965,0.1270662068,
18.849,0.1795558551,0.1144227676,
18.883,0.1641324136,0.1091469091,
18.916,0.1188455352,0.1062615426,
18.949,0.1282938183,0.1071920836,
18.983,0.1225230853,0.1110504544,
19.016,0.1343841672,0.1320329264,
19.049,0.1321009088,0.1502552337,
19.083,0.1440658527,0.150766346,
19.116,0.1705104675,0.1426230121,
19.149,0.1715326919,0.116843088,
19.183,0.1652460242,0.1195565181,
19.216,0.143686176,0.1219904562,
19.249,0.1391130363,0.1151523987,
19.283,0.1439809123,0.1217208567,
19.316,0.1603047974,0.1291918909,
19.349,0.1534417135,0.1347906212,
19.383,0.1483837817,0.1280236512,
19.416,0.1695812425,0.1386213386,
19.449,0.1660473024,0.09969938996,
19.483,0.1772426771,0.104959947,
19.516,0.1193987799,0.07840007201,
19.549,0.119919894,0.110918269,
19.583,0.116800144,0.1328544933,
19.616,0.1018365381,0.1346580219,
19.649,0.1557089866,0.1356915109,
19.683,0.1493160437,0.143856188,
19.716,0.1413830218,0.129520878,
19.749,0.1577123759,0.1371554491,
19.783,0.159041756,0.1293425311,
19.816,0.1543108983,0.1383288136,
19.849,0.1386850623,0.133106853,
19.883,0.1566576271,0.09438709454,
19.916,0.156213706,0.1084121365,
19.949,0.1087741891,0.1077210795,
19.983,0.1168242729,0.1392648475,
20.016,0.1454421591,0.1224207223,
20.049,0.1585296951,0.1294456188,
20.085,0.1448414445,0.1329467372,
20.116,0.1588912375,0.1456999688,
20.149,0.1458934745,0.1593208499,
20.183,0.1613999377,0.1546788758,
20.216,0.1786416998,0.1425866104,
20.249,0.1893577516,0.1155339673,
20.283,0.1751732208,0.132294827,
20.316,0.1410679347,0.1300749932,
20.349,0.144589654,0.171542489,
20.383,0.1701499865,0.2113629261,
20.416,0.1930849779,0.1728591555,
20.45,0.2527258522,0.1507574464,
20.483,0.2057183111,0.1390372977,
20.517,0.1715148928,0.1296949113,
20.549,0.1380745955,0.1314309229,
20.583,0.1393898226,0.1474102032,
20.616,0.1428618457,0.1843352199,
20.649,0.1348204063,0.1544508668,
20.683,0.2086704397,0.1664845077,
20.716,0.1789017336,0.1614126405,
20.749,0.1929690154,0.1679008287,
20.783,0.1728252811,0.1454962146,
20.816,0.1958016575,0.143856181,
20.849,0.1709924292,0.1374328992,
20.883,0.1777123621,0.1546950466,
20.916,0.1648657984,0.187854009,
20.949,0.1793900931,0.1906167848,
20.983,0.205708018,0.1593661454,
21.016,0.2112335697,0.1435212863,
21.049,0.2087322907,0.1501281377,
21.083,0.1670425726,0.1498941881,
21.116,0.1702562754,0.1431149598,
21.149,0.1797883762,0.1353132428,
21.183,0.1662299195,0.1045817404,
21.216,0.1606264856,0.148876929,
21.249,0.1191634809,0.1507516895,
21.283,0.1777538581,0.1416697158,
21.316,0.1615033789,0.1243511722,
21.349,0.1533394316,0.1446263077,
21.383,0.1387023444,0.1608967552,
21.416,0.1492526153,0.1262175641,
21.449,0.1817935104,0.1395163678,
21.483,0.1324351282,0.1779432652,
21.516,0.1290327357,0.1694944681,
21.549,0.1658865305,0.1633796986,
21.583,0.1789889362,0.1522094673,
21.616,0.1567593971,0.1609897729,
21.652,0.1544189345,0.152331902,
21.683,0.1519795458,0.1303893059,
21.716,0.164663804,0.09798079734,
21.749,0.1307786117,0.09435687611,
21.783,0.09596159468,0.08563149478,
21.816,0.08871375222,0.07270934622,
21.849,0.09126298956,0.05711239792,
